,protocol_type,protocol_name,Algorithm,Simulation_Number,Task Id,Mission Id,Task Importance,Max Players,Initial Workload,Arrival Delay,Abandonment Counter,Total Abandonment Counter,Total Time In System,Total Time Since First Arrival,Time Taken (In System) Relative To Optimal,Time Taken (First Arrival) Relative To Optimal,Cap,Is Done,Abandonment Penalty,Utility,map_size,max_nclo,converge_threshold
39,No Loss,e^-(0d),FMC_TA,1,8,22,4546.417359284733,3,28163.840860075197,9415.351382428013,0,0,23605.042169523633,14189.69078709562,0.39770939132144983,0.6616033495173821,3019.346842687541,True,0,1119.670285463632,9000X9000,5000,1e-05
40,No Loss,e^-(0d),FMC_TA,1,8,20,4546.417359284733,2,44543.64271278205,5496.855598519451,0,0,47515.79539995958,42018.93980144012,0.4687245824029702,0.5300424394722043,2530.896476241626,True,0,1418.2476185200806,9000X9000,5000,1e-05
41,No Loss,e^-(0d),FMC_TA,1,8,21,4546.417359284733,4,40335.24479628129,40342.86808687024,0,0,53787.94968563067,13445.08159876043,0.18747342588825594,0.75,3409.8130194635496,True,0,48.61185110242169,9000X9000,5000,1e-05
42,No Loss,e^-(0d),FMC_TA,1,9,25,10573.921803278457,7,63060.09406687746,6098.338299346332,0,0,35979.12162853166,29880.78332918533,0.2503836797269925,0.3014842270851,3755.7967747772054,True,0,1975.410816714492,9000X9000,5000,1e-05
43,No Loss,e^-(0d),FMC_TA,1,9,24,10573.921803278457,9,66996.38750940433,4027.5772502225445,0,0,44773.71518960573,40746.13793938319,0.1662592220698412,0.18269321788668075,2483.5858312888263,True,0,1624.7529925585497,9000X9000,5000,1e-05
44,No Loss,e^-(0d),FMC_TA,1,9,23,10573.921803278457,4,80727.54550998443,5723.2364708046025,0,0,56720.232544385864,50996.996073581264,0.3558145915869257,0.3957465719819374,4688.156652049355,True,0,2565.1996746499112,9000X9000,5000,1e-05
45,No Loss,e^-(0d),FMC_TA,1,2,3,6219.839097124932,5,40106.31172631966,5244.002271373482,0,0,38652.98357662052,33408.98130524704,0.20751987564850335,0.24009299391610467,1867.1562773955245,True,0,1074.5540977297612,9000X9000,5000,1e-05
46,No Loss,e^-(0d),FMC_TA,1,2,2,6219.839097124932,6,56186.62965968893,6475.9268523300725,0,0,43301.20797836796,36825.28112603789,0.21626274909681564,0.25429373490902013,2108.286906054129,True,0,1065.6327267102652,9000X9000,5000,1e-05
47,No Loss,e^-(0d),FMC_TA,1,2,4,6219.839097124932,4,52999.86678944851,46339.75001879114,0,0,65428.021217102716,19088.271198311573,0.20251211103261396,0.6941417878919353,4849.521894623764,True,0,36.75430799747419,9000X9000,5000,1e-05
48,No Loss,e^-(0d),FMC_TA,1,11,30,10090.407608070465,8,50944.6190947926,5480.677883352137,0,0,23482.279518054624,18001.601634702485,0.2711865081902677,0.3537506004228563,3705.8491560992557,True,0,2080.202774023219,9000X9000,5000,1e-05
49,No Loss,e^-(0d),FMC_TA,1,11,31,10090.407608070465,5,68009.54901298524,6770.005739811913,0,0,41760.14538778159,34990.13964796967,0.3257150969253275,0.3887355106165262,5359.039972226191,True,0,2626.0834496914695,9000X9000,5000,1e-05
50,No Loss,e^-(0d),FMC_TA,1,11,29,10090.407608070465,3,79630.73170985618,21621.176545691527,0,0,77415.52710657973,55794.3505608882,0.34287149140088624,0.47573951430175365,5433.967821689222,True,0,556.9116213591323,9000X9000,5000,1e-05
51,No Loss,e^-(0d),FMC_TA,1,6,14,7387.731810597964,2,48360.07506946511,5623.005710935518,0,0,30337.541387587276,24714.535676651758,0.7970335244314132,0.9783731262884233,7306.079147319629,True,0,4040.0779254223917,9000X9000,5000,1e-05
52,No Loss,e^-(0d),FMC_TA,1,6,15,7387.731810597964,4,71652.7260397221,5478.303959887577,0,0,47487.57932482094,42009.27536493336,0.37721824874252147,0.4264101523846635,3808.505018677415,True,0,2138.3613222539884,9000X9000,5000,1e-05
53,No Loss,e^-(0d),FMC_TA,1,6,16,7387.731810597964,2,73741.61222434917,37619.9258362043,0,0,84509.79775385748,46889.87191765318,0.43629031298316656,0.7863277207693417,6383.981432339105,True,0,121.25459736917226,9000X9000,5000,1e-05
54,No Loss,e^-(0d),FMC_TA,1,4,10,9463.27809128424,8,85766.11520971885,8663.284532253603,0,0,54944.308864483464,46281.02433222986,0.19512056157912402,0.23164492480234436,3837.985036847037,True,0,1540.611434910976,9000X9000,5000,1e-05
55,No Loss,e^-(0d),FMC_TA,1,4,8,9463.27809128424,4,92039.55477216776,46373.25813457453,0,0,73019.22920406095,26645.97106948642,0.3151209475073759,0.8635410071202723,8733.306006022056,True,0,65.95606787955975,9000X9000,5000,1e-05
56,No Loss,e^-(0d),FMC_TA,1,4,9,9463.27809128424,2,94559.29879916307,27205.247003983943,0,0,85982.936855323,58777.68985133906,0.5498724645697487,0.8043808717076419,8312.580532380814,True,0,473.0336464401034,9000X9000,5000,1e-05
57,No Loss,e^-(0d),FMC_TA,1,10,26,6555.464292551019,2,50918.94040645977,5351.907936770465,0,0,30935.940124387427,25584.032187616962,0.8229738647302226,0.9951312606443887,6539.427791509546,True,0,3720.9160501729857,9000X9000,5000,1e-05
58,No Loss,e^-(0d),FMC_TA,1,10,27,6555.464292551019,6,54363.32263293026,4813.229626793371,0,0,32619.724778929223,27806.495152135853,0.27776303551180564,0.3258430709293865,2160.039326666026,True,0,1300.8294153883805,9000X9000,5000,1e-05
59,No Loss,e^-(0d),FMC_TA,1,10,28,6555.464292551019,3,43229.32077857744,68112.61480425773,0,0,89727.27519354645,21614.66038928872,0.16059524332792352,0.6666666666666667,4370.309528367346,True,0,3.3407953162874926,9000X9000,5000,1e-05
