,protocol_type,protocol_name,Algorithm,Simulation_Number,Task Id,Mission Id,Task Importance,Max Players,Initial Workload,Arrival Delay,Abandonment Counter,Total Time In System,Total Time Since First Arrival,Time Taken (In System) Relative To Optimal,Time Taken (First Arrival) Relative To Optimal,Cap,Is Done,Abandonment Penalty,Delay Penalty,Utility,map_size,max_nclo,converge_threshold,Time Stamp,pace of tasks,central_location_multiplier_list
69,Delay,Pois(10000^d),FMC_ATA,0,25,71,40990.539565755455,5,123328.2382668455,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
70,Delay,Pois(10000^d),FMC_ATA,0,25,72,40990.539565755455,5,112766.33962659529,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
71,Delay,Pois(10000^d),FMC_ATA,0,25,73,40990.539565755455,5,134336.1835106688,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
72,Delay,Pois(10000^d),FMC_ATA,0,26,74,56060.0218853524,5,100697.18030574458,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
73,Delay,Pois(10000^d),FMC_ATA,0,26,75,56060.0218853524,5,118831.48939543437,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
74,Delay,Pois(10000^d),FMC_ATA,0,26,76,56060.0218853524,5,115746.31633330762,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
75,Delay,Pois(10000^d),FMC_ATA,1,2,2,52198.39097124932,5,142107.96057694175,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
76,Delay,Pois(10000^d),FMC_ATA,1,2,3,52198.39097124932,5,115117.97870374535,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
77,Delay,Pois(10000^d),FMC_ATA,1,2,4,52198.39097124932,5,136759.1439392136,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
78,Delay,Pois(10000^d),FMC_ATA,1,3,5,11016.204891721181,5,100296.74107427942,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
79,Delay,Pois(10000^d),FMC_ATA,1,3,6,11016.204891721181,5,108222.4424111653,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
80,Delay,Pois(10000^d),FMC_ATA,1,3,7,11016.204891721181,5,105525.75779321197,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
81,Delay,Pois(10000^d),FMC_ATA,1,4,8,84632.78091284241,5,179994.3894864442,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
82,Delay,Pois(10000^d),FMC_ATA,1,4,9,84632.78091284241,5,184501.34663461352,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
83,Delay,Pois(10000^d),FMC_ATA,1,4,10,84632.78091284241,5,168773.35950217914,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
84,Delay,Pois(10000^d),FMC_ATA,1,5,11,15091.548027698009,5,110648.12264904231,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
85,Delay,Pois(10000^d),FMC_ATA,1,5,12,15091.548027698009,5,114415.26349878409,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
86,Delay,Pois(10000^d),FMC_ATA,1,5,13,15091.548027698009,5,108148.88283908034,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
87,Delay,Pois(10000^d),FMC_ATA,1,6,14,63877.31810597964,5,119750.83673336732,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
88,Delay,Pois(10000^d),FMC_ATA,1,6,15,63877.31810597964,5,160030.3735033474,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
89,Delay,Pois(10000^d),FMC_ATA,1,6,16,63877.31810597964,5,163642.6445148965,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
90,Delay,Pois(10000^d),FMC_ATA,1,7,17,81220.4252248064,5,166062.91691701533,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
91,Delay,Pois(10000^d),FMC_ATA,1,7,18,81220.4252248064,5,101448.51076471272,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
92,Delay,Pois(10000^d),FMC_ATA,1,7,19,81220.4252248064,5,104196.57761166904,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
